TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
LAL,LAL @ NOP,05/16/2021,W,240,110,45,96,46.9,11,35,31.4,9,15,60,8,34,42,30,14,5,10,16,12
LAL,LAL @ IND,05/15/2021,W,240,122,41,86,47.7,11,29,37.9,29,36,80.6,11,34,45,25,5,3,13,15,7
LAL,LAL vs. HOU,05/12/2021,W,240,124,52,91,57.1,7,20,35,13,22,59.1,8,33,41,28,8,3,11,20,2
LAL,LAL vs. NYK,05/11/2021,W,265,101,37,89,41.6,12,28,42.9,15,19,78.9,14,39,53,31,5,5,20,17,2
LAL,LAL vs. PHX,05/09/2021,W,240,123,39,80,48.8,13,30,43.3,32,41,78,14,27,41,24,11,3,14,21,13
LAL,LAL @ POR,05/07/2021,L,240,101,37,89,41.6,11,30,36.7,16,22,72.7,10,39,49,19,2,4,14,20,-5
LAL,LAL @ LAC,05/06/2021,L,240,94,33,87,37.9,10,36,27.8,18,29,62.1,11,23,34,21,8,6,11,23,-24
LAL,LAL vs. DEN,05/03/2021,W,240,93,32,73,43.8,13,30,43.3,16,23,69.6,7,36,43,18,5,8,20,20,4
LAL,LAL vs. TOR,05/02/2021,L,240,114,41,85,48.2,11,29,37.9,21,31,67.7,7,37,44,32,7,6,14,22,-7
LAL,LAL vs. SAC,04/30/2021,L,240,106,42,83,50.6,7,28,25,15,21,71.4,11,32,43,24,9,12,21,17,-4
LAL,LAL @ WAS,04/28/2021,L,240,107,42,96,43.8,10,34,29.4,13,21,61.9,13,28,41,31,10,8,10,20,-9
LAL,LAL @ ORL,04/26/2021,W,240,114,47,87,54,11,31,35.5,9,14,64.3,9,35,44,23,8,5,12,18,11
LAL,LAL @ DAL,04/24/2021,L,240,93,33,86,38.4,12,45,26.7,15,19,78.9,6,30,36,22,11,4,9,22,-15
LAL,LAL @ DAL,04/22/2021,L,240,110,43,90,47.8,10,30,33.3,14,17,82.4,12,33,45,26,7,5,16,28,-5
LAL,LAL vs. UTA,04/19/2021,L,240,97,34,79,43,12,28,42.9,17,25,68,5,27,32,17,10,1,10,14,-14
LAL,LAL vs. UTA,04/17/2021,W,265,127,48,93,51.6,11,33,33.3,20,23,87,11,41,52,26,8,8,15,14,12
LAL,LAL vs. BOS,04/15/2021,L,240,113,44,98,44.9,12,37,32.4,13,19,68.4,11,25,36,28,12,2,8,16,-8
LAL,LAL @ CHA,04/13/2021,W,240,101,34,82,41.5,16,44,36.4,17,18,94.4,8,30,38,24,9,2,11,18,8
LAL,LAL @ NYK,04/12/2021,L,240,96,35,80,43.8,12,36,33.3,14,18,77.8,4,29,33,22,5,7,25,21,-15
LAL,LAL @ BKN,04/10/2021,W,240,126,47,93,50.5,19,34,55.9,13,20,65,12,35,47,30,12,4,15,24,25
LAL,LAL @ MIA,04/08/2021,L,240,104,35,79,44.3,12,35,34.3,22,25,88,10,30,40,26,9,3,22,24,-6
LAL,LAL @ TOR,04/06/2021,W,240,110,39,79,49.4,18,40,45,14,22,63.6,11,38,49,29,8,7,22,24,9
LAL,LAL @ LAC,04/04/2021,L,240,86,32,80,40,7,23,30.4,15,20,75,7,29,36,16,9,7,19,11,-18
LAL,LAL @ SAC,04/02/2021,W,240,115,43,91,47.3,17,33,51.5,12,20,60,13,42,55,26,10,2,17,19,21
LAL,LAL vs. MIL,03/31/2021,L,240,97,35,87,40.2,10,36,27.8,17,22,77.3,11,29,40,22,9,5,22,22,-15
LAL,LAL vs. ORL,03/28/2021,W,240,96,34,82,41.5,11,40,27.5,17,23,73.9,8,44,52,25,9,5,12,17,3
LAL,LAL vs. CLE,03/26/2021,W,240,100,38,78,48.7,6,26,23.1,18,25,72,9,36,45,23,15,3,23,23,14
LAL,LAL vs. PHI,03/25/2021,L,240,101,34,78,43.6,9,26,34.6,24,33,72.7,7,35,42,22,10,0,22,19,-8
LAL,LAL @ NOP,03/23/2021,L,240,111,36,85,42.4,18,37,48.6,21,30,70,6,28,34,25,10,4,13,17,-17
LAL,LAL @ PHX,03/21/2021,L,240,94,35,85,41.2,5,25,20,19,28,67.9,7,34,41,20,3,2,11,18,-17
LAL,LAL vs. ATL,03/20/2021,L,240,94,34,81,42,8,26,30.8,18,24,75,13,39,52,18,6,3,16,16,-5
LAL,LAL vs. CHA,03/18/2021,W,240,116,44,92,47.8,13,39,33.3,15,20,75,11,37,48,23,7,6,11,19,11
LAL,LAL vs. MIN,03/16/2021,W,240,137,50,87,57.5,13,26,50,24,28,85.7,10,33,43,37,3,3,14,16,16
LAL,LAL @ GSW,03/15/2021,W,240,128,49,78,62.8,11,27,40.7,19,25,76,7,39,46,36,9,3,19,25,31
LAL,LAL vs. IND,03/12/2021,W,240,105,34,76,44.7,7,22,31.8,30,39,76.9,6,38,44,20,10,5,15,20,5
LAL,LAL @ SAC,03/03/2021,L,240,120,49,93,52.7,12,27,44.4,10,14,71.4,15,26,41,27,7,3,12,19,-3
LAL,LAL vs. PHX,03/02/2021,L,240,104,40,79,50.6,11,31,35.5,13,17,76.5,5,29,34,18,6,8,12,23,-10
LAL,LAL vs. GSW,02/28/2021,W,240,117,40,85,47.1,11,31,35.5,26,38,68.4,14,46,60,22,14,6,20,21,26
LAL,LAL vs. POR,02/26/2021,W,240,102,37,88,42,7,27,25.9,21,28,75,15,37,52,25,9,7,10,23,9
LAL,LAL @ UTA,02/24/2021,L,240,89,34,85,40,8,33,24.2,13,20,65,12,33,45,17,5,4,14,15,-25
LAL,LAL vs. WAS,02/22/2021,L,265,124,49,104,47.1,15,44,34.1,11,17,64.7,12,33,45,29,9,11,20,29,-3
LAL,LAL vs. MIA,02/20/2021,L,240,94,33,84,39.3,13,45,28.9,15,17,88.2,6,37,43,25,5,6,15,17,-2
LAL,LAL vs. BKN,02/18/2021,L,240,98,40,83,48.2,8,30,26.7,10,14,71.4,10,29,39,21,7,4,16,16,-11
LAL,LAL @ MIN,02/16/2021,W,240,112,42,77,54.5,11,26,42.3,17,21,81,6,32,38,20,8,8,18,14,8
LAL,LAL @ DEN,02/14/2021,L,240,105,40,87,46,6,28,21.4,19,29,65.5,8,38,46,27,4,4,10,26,-17
LAL,LAL vs. MEM,02/12/2021,W,240,115,43,85,50.6,6,30,20,23,33,69.7,13,34,47,26,9,4,18,16,10
LAL,LAL vs. OKC,02/10/2021,W,265,114,42,89,47.2,10,35,28.6,20,24,83.3,6,37,43,22,6,6,17,15,1
LAL,LAL vs. OKC,02/08/2021,W,265,119,44,95,46.3,9,38,23.7,22,29,75.9,10,49,59,28,7,12,15,19,7
LAL,LAL vs. DET,02/06/2021,W,290,135,51,91,56,9,19,47.4,24,28,85.7,9,32,41,32,12,5,24,24,6
LAL,LAL vs. DEN,02/04/2021,W,240,114,46,81,56.8,8,24,33.3,14,22,63.6,8,32,40,29,10,7,16,19,21
LAL,LAL @ ATL,02/01/2021,W,240,107,40,77,51.9,7,23,30.4,20,24,83.3,4,27,31,24,10,7,13,20,8
LAL,LAL @ BOS,01/30/2021,W,240,96,37,84,44,9,31,29,13,19,68.4,13,32,45,20,8,4,14,15,1
LAL,LAL @ DET,01/28/2021,L,240,92,36,88,40.9,12,28,42.9,8,12,66.7,12,32,44,25,2,3,11,16,-15
LAL,LAL @ PHI,01/27/2021,L,240,106,41,86,47.7,8,24,33.3,16,25,64,6,31,37,20,5,2,12,20,-1
LAL,LAL @ CLE,01/25/2021,W,240,115,42,87,48.3,10,32,31.3,21,28,75,15,25,40,21,7,7,14,23,7
LAL,LAL @ CHI,01/23/2021,W,240,101,36,79,45.6,4,19,21.1,25,31,80.6,5,37,42,20,7,4,19,18,11
LAL,LAL @ MIL,01/21/2021,W,240,113,41,88,46.6,19,37,51.4,12,15,80,6,32,38,25,8,8,10,14,7
LAL,LAL vs. GSW,01/18/2021,L,240,113,40,83,48.2,9,29,31,24,33,72.7,12,38,50,23,6,5,19,22,-2
LAL,LAL vs. NOP,01/15/2021,W,240,112,39,93,41.9,15,37,40.5,19,26,73.1,13,31,44,31,11,6,8,16,17
LAL,LAL @ OKC,01/13/2021,W,240,128,47,95,49.5,17,37,45.9,17,22,77.3,12,38,50,26,6,6,10,16,29
LAL,LAL @ HOU,01/12/2021,W,240,117,42,84,50,14,32,43.8,19,27,70.4,11,44,55,26,10,12,21,18,17
LAL,LAL @ HOU,01/10/2021,W,240,120,46,91,50.5,10,29,34.5,18,24,75,10,39,49,28,13,8,17,23,18
LAL,LAL vs. CHI,01/08/2021,W,240,117,41,81,50.6,12,29,41.4,23,27,85.2,10,32,42,21,3,8,15,15,2
LAL,LAL vs. SAS,01/07/2021,L,240,109,43,86,50,10,30,33.3,13,21,61.9,9,39,48,21,2,4,13,20,-9
LAL,LAL @ MEM,01/05/2021,W,240,94,38,87,43.7,9,31,29,9,11,81.8,9,43,52,24,7,8,17,14,2
LAL,LAL @ MEM,01/03/2021,W,240,108,41,89,46.1,12,35,34.3,14,19,73.7,12,37,49,24,9,5,10,15,14
LAL,LAL @ SAS,01/01/2021,W,240,109,41,101,40.6,14,33,42.4,13,16,81.3,16,42,58,27,8,7,13,20,6
LAL,LAL @ SAS,12/30/2020,W,240,121,46,82,56.1,14,26,53.8,15,20,75,7,40,47,25,4,3,17,24,14
LAL,LAL vs. POR,12/28/2020,L,240,107,41,87,47.1,10,27,37,15,18,83.3,6,35,41,20,6,5,15,14,-8
LAL,LAL vs. MIN,12/27/2020,W,240,127,50,90,55.6,13,35,37.1,14,18,77.8,5,41,46,32,6,14,17,19,36
LAL,LAL vs. DAL,12/25/2020,W,240,138,51,91,56,19,39,48.7,17,24,70.8,17,36,53,33,9,4,17,23,23
LAL,LAL vs. LAC,12/22/2020,L,240,109,38,81,46.9,9,29,31,24,31,77.4,8,37,45,22,4,2,19,20,-7
LAL,LAL vs. SAC,08/13/2020,L,240,122,48,98,49,15,35,42.9,11,15,73.3,15,32,47,29,6,1,17,18,-14
LAL,LAL vs. DEN,08/10/2020,W,240,124,44,81,54.3,14,29,48.3,22,32,68.8,14,18,32,28,8,4,10,18,3
LAL,LAL @ IND,08/08/2020,L,240,111,42,100,42,13,39,33.3,14,19,73.7,15,29,44,20,13,6,15,16,-5
LAL,LAL @ HOU,08/06/2020,L,240,97,35,77,45.5,2,19,10.5,25,36,69.4,12,36,48,18,11,6,25,20,-16
LAL,LAL vs. OKC,08/05/2020,L,240,86,31,88,35.2,5,37,13.5,19,29,65.5,10,36,46,17,7,3,11,24,-19
LAL,LAL @ UTA,08/03/2020,W,240,116,41,82,50,9,26,34.6,25,31,80.6,4,34,38,23,12,3,14,24,8
LAL,LAL @ TOR,08/01/2020,L,240,92,29,82,35.4,10,40,25,24,33,72.7,8,32,40,17,8,12,18,25,-15
LAL,LAL vs. LAC,07/30/2020,W,240,103,32,82,39,11,36,30.6,28,37,75.7,11,34,45,21,6,3,16,27,2
LAL,LAL vs. BKN,03/10/2020,L,240,102,40,87,46,15,40,37.5,7,12,58.3,8,38,46,24,7,4,15,22,-2
LAL,LAL @ LAC,03/08/2020,W,240,112,39,87,44.8,10,35,28.6,24,28,85.7,9,36,45,22,8,7,14,28,9
LAL,LAL vs. MIL,03/06/2020,W,240,113,38,91,41.8,6,32,18.8,31,38,81.6,10,42,52,19,11,4,16,27,10
